Rep	Species	CraySize	Rate	lnRate	Biomass	lnBiomass
37	LE	22.1	1.125	0.753771802	3.069642858	1.403555246
38	LE	15.6	0.125	0.117783036	0.341071429	0.293468868
39	LE	14.3	0.4375	0.362905494	1.19375	0.785612408
40	LE	16.8	0.1875	0.171850257	0.511607143	0.413173418
41	LE	13.7	0	0	0	0
42	LE	18.9	0.5625	0.446287103	1.534821429	0.930123192
43	LE	12.2	0.125	0.117783036	0.341071429	0.293468868
44	LE	17.5	0.25	0.223143551	0.682142857	0.520068491
45	LE	18.3	0.4375	0.362905494	1.19375	0.785612408
46	LE	12.4	0	0	0	0
47	LE	20.4	0.1875	0.171850257	0.511607143	0.413173418
48	LE	15	0.125	0.117783036	0.341071429	0.293468868
49	LE	21.9	0.625	0.485507816	1.705357143	0.995233934
50	LE	24.5	1.0625	0.723918839	2.899107143	1.360747589
51	LE	15.6	0.9375	0.661398482	2.558035715	1.269208627
52	LE	21.2	1.0625	0.723918839	2.899107143	1.360747589
