Rep	Species	CraySize	Rate	lnRate	Biomass	lnBiomass
1	HN	20.6	0.125	0.117783036	0.355357143	0.304064994
2	HN	16.2	0	0	0	0
3	HN	19.7	0.0625	0.060624622	0.177678571	0.163545188
4	HN	14.4	0.0625	0.060624622	0.177678571	0.163545188
5	HN	18.3	0.1875	0.171850257	0.533035714	0.427249897
6	HN	17.1	0.3125	0.271933715	0.888392857	0.635726127
7	HN	15.5	0.0625	0.060624622	0.177678571	0.163545188
8	HN	19.8	0.3125	0.271933715	0.888392857	0.635726127
9	HN	23.7	0.4375	0.362905494	1.24375	0.808148573
10	HN	17.9	0.0625	0.060624622	0.177678571	0.163545188
11	HN	13.8	0	0	0	0
12	HN	19	0.0625	0.060624622	0.177678571	0.163545188
13	HN	24.9	0.25	0.223143551	0.710714286	0.536910994
14	HN	17.6	0.0625	0.060624622	0.177678571	0.163545188
15	HN	15.9	0.1875	0.171850257	0.533035714	0.427249897
16	HN	24.3	1.125	0.753771802	3.198214286	1.434659265
17	HN	16.5	0.8125	0.594707108	2.309821429	1.196894239
